subject,repetition,g,swap,SD,nTrials
30,1,0.362744582288619,0.00088132219564506,39.4857747524253,119
30,2,0.0478696270559423,0.000747548359455588,24.9286803536019,117
30,3,0.000614582527103479,0.00146445912484276,25.4777841588793,114
30,4,0.00103594537492591,0.000289893328415617,22.1353745979956,112
30,5,0.102587791328459,4.1194742882225e-05,23.2253985229764,109
30,6,0.040324238094593,0.000432080032350411,23.2287984589428,113
31,1,0.425707776243952,0.000108989122526285,16.3190033759209,117
31,2,0.00103838266354373,0.000627028297972506,18.3664506381311,117
31,3,0.000444000729248789,0.000351193771779701,14.3750427355972,117
31,4,0.000757213729441747,0.000882343152344989,13.1831137722826,112
31,5,0.0146527134661264,0.000310132882624213,14.734245102366,107
31,6,0.0126735378865387,0.000457180361298031,13.1221825638526,113
32,1,0.423708092212379,0.000125116186592519,18.4893209400652,116
32,2,0.0191560232982763,0.000165293163256656,17.9355116974705,115
32,3,0.0317838870516834,8.93702079363647e-05,18.1879021795662,114
32,4,0.00427737481212516,7.29637881865092e-05,16.6428987414375,113
32,5,0.0356031378537644,0.000219645223801655,15.6484592596523,115
32,6,0.00955259209710166,7.11254816163536e-05,13.8457031563596,110
33,1,0.438527258937957,3.78514600252321e-05,23.1127440502406,113
33,2,0.0643518076836428,1.04963300322359e-05,23.6211776676141,120
33,3,0.042877886432908,8.10396520567072e-05,18.271908509335,117
33,4,0.00369666033998713,0.00104801682870331,16.7396771786946,115
33,5,0.0595270401045531,0.000952073158555023,15.4448556351704,108
33,6,0.00259946819040545,0.000716158843087577,14.5440067470526,111
34,1,0.512743970303924,0.000916747790223922,45.9834612935704,116
34,2,0.060872488379088,0.000604145408231518,20.7100037187286,117
34,3,0.0445987229737599,1.075118310111e-05,20.9058608507061,114
34,4,0.0745878925140081,0.000449640976945413,21.293282856751,113
34,5,0.0866620770160764,4.35900693902784e-05,22.0503658896124,110
34,6,0.0329524815492517,0.000207523823481059,23.0348257504358,113
35,1,0.286428615498366,0.000683116364321262,18.4620146895872,111
35,2,0.02621263337044,0.000423891333228899,20.3885501852694,118
35,3,0.0256557156675299,2.6547399344545e-05,17.8826784955308,117
35,4,0.0205965572791962,0.000233441661232236,17.2015361692128,116
35,5,0.0431711109487524,0.000717805282410192,24.2521284708216,110
35,6,0.00151521817583466,0.00049989709361445,17.6008490371939,112
36,1,0.438681491292616,0.000283597985592783,23.1790332442813,118
36,2,0.0017578997346468,0.000902534970271265,22.8245187172582,117
36,3,0.0132349022941825,0.000105692813227872,17.3860339871628,110
36,4,0.00839581124574249,0.000205419468166765,17.8425842756863,114
36,5,0.058380992705885,0.000188060806987277,19.1723452506228,110
36,6,0.00767829446271792,0.000151848613533082,15.2160857831221,115
37,1,0.42772940446868,0.000402073153854369,18.8413540083268,119
37,2,3.80122821955851e-05,0.000647702716483407,22.0030502685203,113
37,3,0.0412648496413031,0.000138870429934757,23.67876810406,113
37,4,0.0565520196938452,0.000822479556392886,20.0520728690665,114
37,5,0.056098344235599,0.000358546337004866,22.6921147467378,112
37,6,0.00187955217828023,0.0005506671809995,19.7627903006176,112
38,1,0.516395756972304,0.000353739242602624,20.0632011961518,112
38,2,0.125047611646277,7.08603963887149e-05,19.5184755967233,117
38,3,0.0465208936158396,0.000481256397597668,19.3830874834443,115
38,4,0.0536143499355695,0.0005742829834443,20.5193073609984,115
38,5,0.0263018453431391,6.85235165599084e-05,17.5653529385819,109
38,6,0.0836502574964017,8.42205035302483e-05,14.9695897344509,116
39,1,0.50921249297923,7.05821520462261e-05,25.053341704379,114
39,2,0.0514959013523066,8.51653106283476e-05,20.9982555266471,118
39,3,0.119996417187261,0.000121626777975608,16.3108605913266,117
39,4,0.100023974418703,0.000103884370142953,18.4641161706502,110
39,5,0.0886526977930069,0.000111595322584844,19.4295122663643,112
39,6,0.0665985810165132,0.000115443947344734,17.0040150277851,113
40,1,0.496329741872793,0.000425217238908561,21.7174130912771,111
40,2,0.0639618924881055,5.85335512686749e-05,20.7729465004198,115
40,3,0.00553365818893122,8.25311534247248e-05,23.1520262604807,115
40,4,0.0333453215834896,0.000948585051555728,21.6227432687078,116
40,5,0.012632605593472,0.00056667733269568,23.5188964111227,110
40,6,0.00985202553014925,9.31752684225832e-05,20.732697636625,117
41,1,0.429202978299351,0.00015963859612607,30.868736712271,116
41,2,0.0535198615633575,0.00010480914541299,29.1621976470577,117
41,3,0.0709909593083662,0.000610597255448607,22.0547336767302,117
41,4,0.0262203724792663,0.000331500322045142,22.2366992776037,117
41,5,0.0582421589884734,0.00043709432651079,23.9667972886038,102
41,6,0.0366244963116844,0.000172423226117004,20.3486441796175,114
42,1,0.335733330348714,0.000321458719205717,28.5375940666672,115
42,2,0.000476623716379857,0.000123649529875919,28.311859419495,117
42,3,0.0451649983208675,0.000175305262192377,28.734983898286,114
42,4,0.0465937314510996,0.000299963265473107,23.5991801738594,114
42,5,0.105119132788623,0.000748441861596903,28.7657184494681,109
