subject,repetition,context,interference,g,swap,SD,nTrials
25,5,1,0,0.0388114758703363,0.000622969651396852,15.7893322796388,25
25,5,1,1,0.000820705806457663,0.000343129473254891,12.0758839751895,23
26,1,0,0,0.00457345546906754,0.0114019241910838,25.0551039617025,19
26,1,0,1,0.705034293765594,9.08258936737731e-05,16.8618331255604,26
26,1,1,0,0.0671022497574164,0.00206278316976766,33.0288030773434,22
26,1,1,1,0.0854309374759053,0.0039578508575442,88.9411134365114,24
26,5,0,0,0.126905234306059,0.000467036143674098,18.6657817505898,23
26,5,0,1,0.110742603682763,0.000230786101436304,21.8090741943013,20
26,5,1,0,0.0554468314107368,0.00235435881849174,23.0879142396851,23
26,5,1,1,0.142726141352375,0.00206446979696654,17.5411279737818,23
27,1,0,0,0.0598631822677182,0.000304375448766629,23.375497629771,26
27,1,0,1,0.541908451194359,0.00819711650559776,34.0996893345327,25
27,1,1,0,0.0892611236445359,0.000416260683417124,17.0240253172638,29
27,1,1,1,0.459719684648989,0.00282171794213982,16.478646335127,25
27,5,0,0,0.145087790002013,0.000698308093858855,17.3364069520235,26
27,5,0,1,0.0126406292071339,0.000413659739513073,16.863016520653,26
27,5,1,0,0.0061453354853589,0.00791708019799794,16.7979093838285,22
27,5,1,1,0.000858925930365025,0.00334242974133378,23.3069484854348,26
28,1,0,0,0.00251806421378339,0.000366859276427024,18.7619962618422,24
28,1,0,1,0.00189911696024293,0.00861075819412001,34.3494712009196,24
28,1,1,0,0.0362708668796866,0.000734285769421065,22.147357124701,25
28,1,1,1,0.53372137170953,0.003508010449823,21.3260454719445,21
28,5,0,0,0.00867443782979305,0.00729596612438578,11.9632723978361,22
28,5,0,1,0.00515002261880579,0.000947747323769809,10.4738804487261,22
28,5,1,0,0.000535320977897814,0.00825323368680219,11.2367817244398,27
28,5,1,1,0.0509947822858984,0.000669498599989682,12.4618142310123,24
29,1,0,0,0.0450339468098644,0.00013193165059645,46.1094009856233,28
29,1,0,1,0.00928384116744926,0.112778682174684,436.111360180526,28
29,1,1,0,0.371432322477246,0.00421165285376874,30.2331234715606,29
29,1,1,1,0.458509723979724,0.000876026127311827,37.6514419774889,30
29,5,0,0,0.00731001722000925,0.00380495413973973,20.5385712601639,28
29,5,0,1,0.080200404890864,0.000670593569135866,22.2237763438911,26
29,5,1,0,0.00832316495913301,0.00199279934036426,24.1528078591616,30
29,5,1,1,0.127804179682897,0.00103006245483326,17.5954371309639,27
30,1,0,0,0.337157819655129,5.91653810670372e-05,26.0735267027482,30
30,1,1,0,0.00217184814689217,0.00193642050528827,34.7337610565741,30
30,1,1,1,0.0540329290484343,0.00646514358002584,72.7231561350136,30
30,5,0,0,0.0257643178172264,8.62625057466739e-05,21.4579069471466,27
30,5,0,1,0.161792115030404,0.000901600573983301,21.8815389634051,28
30,5,1,0,0.148424857449292,0.00531554878430439,29.4861957346149,28
