subject,repetition,context,probe,g,swap,SD,nTrials
29,1,1,1,0.199610647153017,0.00238674535961973,19.0260004356183,45
29,5,0,1,0.000655585708580547,0.00440061503888465,23.8287460350692,45
29,5,1,1,0.00189884700056976,0.00483014714776235,28.0092092296836,45
29,1,0,2,0.198315233169845,0.00193919252355313,18.870254361497,30
29,1,1,2,0.144708344625859,0.00680367377485415,31.0607325183142,30
29,5,0,2,0.00693917996146128,0.00175085231026953,25.4325559701884,30
29,5,1,2,0.0720243256363288,0.000331757953086018,26.715368248416,30
30,1,0,1,0.208904486869621,0.00039067042605071,25.5975200772851,45
30,1,1,1,0.0212437650015027,0.000582477901077171,39.1763373300409,45
30,5,0,1,0.0699106767966893,0.00091860407775604,25.9353264091382,45
30,5,1,1,0.134769776443786,0.000189183826773918,38.5105927325884,45
30,1,0,2,0.185443095398243,0.000579367644433913,22.3011475280512,30
30,1,1,2,0.299361054638722,0.00291144457960965,43.91685951227,30
30,5,0,2,0.0430438756580215,0.0129347897255627,29.1069335122325,30
30,5,1,2,0.000484679374812478,0.00122593465105976,34.5179553473202,29
31,1,0,1,0.212241372669072,0.00101810079709469,17.6117745468162,45
31,1,1,1,0.0948681238973065,0.00299187950024664,18.2462320004074,45
31,5,0,1,0.0011831892888775,0.000628050287628432,18.7568275614232,45
31,5,1,1,0.020568435220062,0.000945755747456083,13.8557724041048,43
31,1,0,2,0.0431252313624366,0.000289650111283724,21.5751404521525,30
31,1,1,2,0.021128112825418,0.000266391679480285,22.8303237697334,29
31,5,0,2,0.102709496620382,0.00219863086260519,22.3354187204036,30
31,5,1,2,0.00462972004848155,5.929801728209e-05,18.7253250757315,30
32,1,0,1,0.0308761146968746,0.000495943319217478,38.0966202337302,44
32,1,1,1,0.164743341579422,4.56199086218024e-05,33.3892980608363,45
32,5,0,1,0.130737959453217,0.000168832494917725,20.0529229401275,44
32,5,1,1,0.0908162153231443,0.00296108864184493,29.3134935944222,45
32,1,0,2,0.260724450782275,0.00086155332588108,37.5340867798404,30
32,1,1,2,0.158300961015821,0.000797573368408083,23.9964198431795,30
32,5,0,2,0.106752959751331,0.00586702030755529,33.7796122688307,29
32,5,1,2,0.0575148862348057,6.36636727430117e-05,20.0605392878528,30
33,1,0,1,0.321797277466844,0.000422974730199091,26.4733584433375,45
33,1,1,1,0.186986231574276,0.000934453798561543,35.8930808210463,45
33,5,0,1,0.0310123292244738,0.00256834894468862,28.341994726789,44
33,5,1,1,0.170908649680574,0.00144863610512434,13.881899234,43
33,1,0,2,0.201254040730621,0.0012924876006353,23.693606755584,27
33,1,1,2,0.271899621889737,0.000485608421111909,19.285312640644,30
33,5,0,2,0.236098775240556,0.000344075909547371,10.7017293422445,30
33,5,1,2,0.273197029142584,0.000827667053888025,20.2497946672897,28
35,1,0,1,0.144585865895889,0.000191089279273908,55.0457240484827,45
35,1,1,1,0.100911859997398,0.00129170036798547,38.5333040902341,45
35,5,0,1,0.280914939282688,0.000684841169351906,27.0036460479581,45
35,5,1,1,0.0364597784761905,0.000198458000435327,35.8435683910018,45
35,1,0,2,0.535393020942954,0.00109792963474817,21.0127697002449,30
35,1,1,2,0.285558925544669,0.00130964622447759,34.5360508230719,30
35,5,0,2,0.195597542491886,6.40655394666574e-05,19.0973241458066,30
35,5,1,2,0.00279422295868734,0.00343132206428864,24.9682080933315,30
36,1,0,1,0.278675342253163,0.000762615415230301,33.569267315465,44
36,1,1,1,0.449976052258514,0.00017526620422983,33.3538603170373,43
36,5,0,1,0.365745654137382,0.0011396960202964,27.285971046483,43
36,5,1,1,0.33711879334123,0.000819354859127014,22.8147075988182,42
36,1,0,2,0.39735173670223,0.000970446116208579,14.63844557536,29
36,1,1,2,0.383675747527047,0.00078942967307811,20.6981763803336,29
36,5,0,2,0.132021102987329,0.00220130133159876,38.8215915673337,30
36,5,1,2,0.247311556035579,0.0052952079290642,31.7529389678391,30
37,1,0,1,0.354738428505607,0.000850884168761561,13.6177399774554,45
