subject,repetition,context,interference,g,SD,nTrials
28,5,1,0,0.00178719327238273,11.8973226392699,27
28,5,1,1,0.0550760920921883,12.1615135590339,24
29,1,0,0,0.01167883165746,46.4672102853704,28
29,1,0,1,0.865114149017132,180676713406.381,28
29,1,1,0,0.33787911643448,31.2378051897255,29
29,1,1,1,0.457270599307244,34.8184143222063,30
29,5,0,0,4.40481648774742e-05,19.7991393859904,28
29,5,0,1,0.0738665534744251,22.1684869638471,26
29,5,1,0,0.00131164795813146,23.2310743172391,30
29,5,1,1,0.156587569152873,17.390822007761,27
30,1,0,0,0.316520143582405,26.2067713738327,30
30,1,0,1,0.765893880619397,39.3047492094415,29
30,1,1,0,0.000258470998475157,35.750121530405,30
30,1,1,1,0.0199562042619812,75.4768231413703,30
30,5,0,0,0.00180641684687345,23.3599948561264,27
30,5,0,1,0.160294936821346,22.0140935600258,28
30,5,1,0,0.180468635201449,28.8913317921305,28
30,5,1,1,0.000240574568678487,23.7365628316545,26
31,1,0,0,0.0450987366102275,15.5774608326598,30
31,1,0,1,0.733660476530566,44.301354000887,29
31,1,1,0,0.00199310628972367,19.7250963813497,29
31,1,1,1,0.712070079045041,13.1297049452363,29
31,5,0,0,0.000525865066237592,12.0672184719905,30
31,5,0,1,0.056332242823686,16.5227651800551,26
31,5,1,0,9.48684559400614e-05,17.2734957844087,27
31,5,1,1,0.00116454325140347,13.8158048466093,24
32,1,0,0,0.000143295872846118,20.9539680545622,28
32,1,0,1,0.797163749256365,22.1269540577214,29
32,1,1,0,0.0742316690001316,21.7797790676635,29
32,1,1,1,0.715275918270513,14.0964682307694,30
32,5,0,0,8.26304395540323e-05,9.39631237118803,30
32,5,0,1,0.00331544218297599,21.6047133692707,29
32,5,1,0,0.043823345565328,15.1335873989076,28
32,5,1,1,0.00167859207614602,19.9193775425972,28
33,1,0,0,0.117126705653889,25.1403211334939,30
33,1,0,1,0.827027631396203,27.1199558269505,28
33,1,1,0,0.156460438636075,19.7118617575215,28
33,1,1,1,0.462200185758739,45.64643828156,27
33,5,0,0,0.000630822697811199,13.6028952598288,28
33,5,0,1,0.270200708651013,8.98015432818853,27
33,5,1,0,0.00109050914278268,11.8998909537934,29
33,5,1,1,0.0564299768458314,20.2895429215205,24
34,1,0,0,0.470727234560522,25.98849634395,30
34,1,0,1,0.958680457552375,27.0541433589371,28
34,1,1,0,0.00429165957670263,49.3322841604344,30
34,1,1,1,0.798585202376535,64.9747105090042,28
34,5,0,0,0.0482090556598689,14.9819327124511,27
34,5,0,1,0.00816736945445477,35.4314531793577,27
34,5,1,0,0.000722795441309518,19.3512175195205,30
34,5,1,1,0.236629561543,25.373158637056,26
35,1,0,0,0.000153805226779401,14.6761197382447,30
35,1,0,1,0.560967814181317,25.8289131725985,28
35,1,1,0,0.000861754488685505,20.7379556457993,29
35,1,1,1,0.629508432669116,19.4800282997913,24
35,5,0,0,0.0465212289963585,18.1949424804284,29
35,5,0,1,0.00095846104024077,23.0418561873151,27
35,5,1,0,0.00255547403399704,25.2627271575362,27
35,5,1,1,0.0736573044302192,33.1330545893664,27
36,1,0,0,0.00157078936099495,23.1123254143422,29
36,1,0,1,0.429224400692052,69.7101844855997,30
36,1,1,0,0.000700585047489073,25.4242777368535,29
