subject,test,repetition,g,SD,nTrials
44,1,5,0.0219117839478109,13.9211031534496,80
44,1,6,0.000103816143571717,14.8400137478263,78
44,2,1,0.0655350214136258,24.6994578313481,80
44,2,2,0.0570544507836427,17.1275534966817,80
44,2,3,6.38653178855336e-05,17.609111073746,79
44,2,4,0.000711229331748658,17.3095231768182,78
44,2,5,2.98520658334754e-05,14.8393513192346,78
44,2,6,0.00160117864466591,15.4448983822757,79
45,1,1,0.0671435261103679,21.7653355692923,77
45,1,2,0.0581487993007642,21.2510307496606,80
45,1,3,0.000191574489636853,19.1537386248996,80
45,1,4,0.0495860063049991,18.974547945636,80
45,1,5,0.0189868677500081,21.2862455767802,80
45,1,6,0.0375853369489585,18.6608475007116,79
45,2,1,0.0786887527749832,28.996718610079,78
45,2,2,0.108928656523614,19.9812728072778,80
45,2,3,0.0543491473544154,18.0498314710695,79
45,2,4,0.0467041187813016,21.0666159656417,80
45,2,5,0.0663967689833019,18.7440715198214,80
45,2,6,0.000232402803529853,22.335319344607,80
46,1,1,0.0659835170365424,24.2985990393209,79
46,1,2,0.0249009833011896,23.9559282447825,79
46,1,3,0.000158984921948905,22.3114675553786,79
46,1,4,0.0534471559326304,21.9345740538668,77
46,1,5,0.0279931403842548,25.3417512138795,78
46,1,6,0.000499789796951759,23.9744439782905,78
46,2,1,0.332775578588398,29.9766425842021,80
46,2,2,1.42696376812428e-05,29.1811726876677,79
46,2,3,0.177175676471457,22.8298108439374,79
46,2,4,0.0196142899497121,29.4772574904115,78
46,2,5,0.0597542071395701,28.2617052922208,77
46,2,6,0.000110481525617298,29.3834157475261,80
47,1,1,0.0629184553326298,21.5905463951719,75
47,1,2,0.000140942859212803,17.3520793431019,80
47,1,3,8.03433357942415e-06,17.3999500418065,78
47,1,4,0.0010710267693715,19.6733548760813,77
47,1,5,9.47359041302692e-06,22.9176127904232,78
47,1,6,0.0194931796360273,16.5921523982999,80
47,2,1,0.184668819287345,25.8985211384594,80
47,2,2,0.000153155726961538,22.4770281149151,79
47,2,3,0.000130111106200991,17.9223392117941,77
47,2,4,0.000223481500210596,15.872137369546,79
47,2,5,0.0342682448412066,15.7625127107635,80
47,2,6,0.000175226398397795,19.2740575157344,79
48,1,1,0.000118492200358252,20.0680403444527,80
48,1,2,0.0354090245398453,15.8267814736928,79
48,1,3,0.000179635874159878,17.493756971348,80
48,1,4,3.46221257529044e-05,22.4725049285903,80
48,1,5,0.000129891533925041,15.9213860960581,80
48,1,6,0.0185038570427459,18.7816336117166,79
48,2,1,0.158390693787721,18.8483473384846,80
48,2,2,0.0417904354365222,19.4523986485186,80
48,2,3,0.047378811226846,20.4878842282544,80
48,2,4,0.000336656974739797,20.8615738406364,80
48,2,5,0.0377875149066412,17.8162996600192,79
48,2,6,0.000127858618902816,18.0949091890138,80
49,1,1,0.0476268638700487,18.8419429765766,80
49,1,2,0.0484076070148156,14.2883509224475,79
49,1,3,0.000103821573382107,19.9015713969336,78
49,1,4,0.0228658522419643,16.7482031148524,79
49,1,5,0.00198528099530665,18.9781776088572,80
49,1,6,0.02280540658524,14.3162310246418,79
49,2,1,0.0300457110366374,24.5868088339233,79
49,2,2,2.80243899312971e-06,15.1923451783957,78
49,2,3,9.06191756044287e-06,19.6961600458474,80
49,2,4,1.23361819521616e-05,19.3922690090731,78
