subject,test,repetition,context,g,SD,nTrials
27,1,1,0,0.00383939157791168,24.4626335106072,38
27,1,1,1,0.0384558676202598,16.3550772099128,40
27,1,5,0,0.0361243808684514,15.2017256600409,38
27,1,5,1,0.000358363288655211,23.6326919744951,42
27,2,1,0,0.11185288559805,23.3727552347172,39
27,2,1,1,0.0745222384944619,32.7294057690307,40
27,2,5,0,0.0536696415192962,17.2961977793352,38
27,2,5,1,0.00111212221768563,23.5235437757732,40
28,1,1,0,0.0237335952475844,21.9726183611932,39
28,1,1,1,0.00119795022180933,21.712074978846,41
28,1,5,0,0.000545731735762493,20.0370365877665,39
28,1,5,1,0.0589567356872202,18.6099916929701,40
28,2,1,0,0.00389230348061239,41.3240948759124,39
28,2,1,1,0.0470010512754007,23.2861073466527,41
28,2,5,0,0.037133920442005,16.1237677765406,39
28,2,5,1,0.000959523978874749,17.1309553020615,41
29,1,1,0,0.0688746789779154,20.794890998071,40
29,1,1,1,0.0744828810830634,27.3891934264672,39
29,1,5,0,0.0671524627792048,22.6904002244357,39
29,1,5,1,0.147982938690582,19.2654684226954,41
29,2,1,0,0.534756467996692,19.4850183278866,40
29,2,1,1,0.332675026130414,42.8402077063128,40
29,2,5,0,0.0843921353573352,25.829278048397,39
29,2,5,1,0.0598140834881565,22.0189177457253,39
30,1,1,0,0.150304528306133,41.5652523226111,39
30,1,1,1,0.108343436977634,25.6034692469478,40
30,1,5,0,0.037599886650012,22.1230257916907,41
30,1,5,1,0.165385641498028,24.0472464147238,39
30,2,1,0,0.0720088125765191,45.384227549062,39
30,2,1,1,0.269902738527163,22.6511791085674,41
30,2,5,0,0.000465040429337957,22.4272406278852,40
30,2,5,1,0.0802294377405564,21.7070491156403,37
31,1,1,0,0.0314786703097721,12.4502374899639,39
31,1,1,1,0.000122285824833058,14.570525160184,40
31,1,5,0,0.00214456216017692,18.3830494573412,38
31,1,5,1,0.000913348832421687,17.6507906398654,41
31,2,1,0,0.0396921443033869,15.6594017922792,38
31,2,1,1,0.000408116773534469,20.7191322227754,40
31,2,5,0,0.000148079958999895,16.3895566600818,39
31,2,5,1,3.38062328880881e-05,17.0358784085896,41
32,1,1,0,0.000841375347120056,14.230732745097,38
32,1,1,1,0.00122320578825088,24.3261947290876,42
